id,journey_id,lat,lng,created_at,updated_at
9550,432,51.492634,-0.096802,02/03/2020 12:07,02/03/2020 12:07
9551,432,51.492634,-0.096802,02/03/2020 12:08,02/03/2020 12:08
9552,432,51.492634,-0.096802,02/03/2020 12:08,02/03/2020 12:08
9553,432,51.492634,-0.096802,02/03/2020 12:09,02/03/2020 12:09
9554,432,51.492634,-0.096802,02/03/2020 12:09,02/03/2020 12:09
9555,432,51.492634,-0.096802,02/03/2020 12:10,02/03/2020 12:10
9556,433,51.405658,-0.162333,02/03/2020 12:23,02/03/2020 12:23
9557,433,51.405659,-0.162333,02/03/2020 12:23,02/03/2020 12:23
9558,433,51.405659,-0.162333,02/03/2020 12:25,02/03/2020 12:25
9559,433,51.405659,-0.162333,02/03/2020 12:26,02/03/2020 12:26
9560,433,51.405689,-0.162294,02/03/2020 12:28,02/03/2020 12:28
9561,433,51.405689,-0.162294,02/03/2020 12:28,02/03/2020 12:28
9562,433,51.405689,-0.162294,02/03/2020 12:29,02/03/2020 12:29
9563,433,51.405689,-0.162294,02/03/2020 12:29,02/03/2020 12:29
9564,433,51.405689,-0.162294,02/03/2020 12:30,02/03/2020 12:30
9565,433,51.405689,-0.162294,02/03/2020 12:30,02/03/2020 12:30
9566,433,51.405689,-0.162294,02/03/2020 12:31,02/03/2020 12:31
9567,433,51.405689,-0.162294,02/03/2020 12:31,02/03/2020 12:31
9568,433,51.405689,-0.162294,02/03/2020 12:32,02/03/2020 12:32
9569,433,51.405689,-0.162294,02/03/2020 12:32,02/03/2020 12:32
9570,433,51.405689,-0.162294,02/03/2020 12:33,02/03/2020 12:33
9571,433,51.405689,-0.162294,02/03/2020 12:33,02/03/2020 12:33
9572,433,51.405689,-0.162294,02/03/2020 12:34,02/03/2020 12:34
9573,433,51.405689,-0.162294,02/03/2020 12:35,02/03/2020 12:35
9574,433,51.405689,-0.162294,02/03/2020 12:36,02/03/2020 12:36
9575,433,51.405689,-0.162294,02/03/2020 12:36,02/03/2020 12:36
9577,433,51.405689,-0.162294,02/03/2020 12:37,02/03/2020 12:37
9579,433,51.405689,-0.162294,02/03/2020 12:37,02/03/2020 12:37
9580,433,51.405674,-0.162319,02/03/2020 12:38,02/03/2020 12:38
9581,433,51.405674,-0.162319,02/03/2020 12:38,02/03/2020 12:38
9582,433,51.405674,-0.162319,02/03/2020 12:39,02/03/2020 12:39
9583,433,51.405674,-0.162319,02/03/2020 12:39,02/03/2020 12:39
9584,433,51.405674,-0.162319,02/03/2020 12:40,02/03/2020 12:40
9585,433,51.405674,-0.162319,02/03/2020 12:40,02/03/2020 12:40
9587,433,51.405674,-0.162319,02/03/2020 12:43,02/03/2020 12:43
9588,433,51.405674,-0.162319,02/03/2020 12:44,02/03/2020 12:44
9590,433,51.405674,-0.162319,02/03/2020 12:45,02/03/2020 12:45
9592,433,51.405674,-0.162319,02/03/2020 12:45,02/03/2020 12:45
9593,433,51.405674,-0.162319,02/03/2020 12:46,02/03/2020 12:46
9594,433,51.405674,-0.162319,02/03/2020 12:46,02/03/2020 12:46
9595,433,51.405674,-0.162319,02/03/2020 12:47,02/03/2020 12:47
9597,433,51.405674,-0.162319,02/03/2020 12:47,02/03/2020 12:47
9598,433,51.405674,-0.162319,02/03/2020 12:48,02/03/2020 12:48
9599,433,51.405674,-0.162319,02/03/2020 12:49,02/03/2020 12:49
9601,433,51.405674,-0.162319,02/03/2020 12:49,02/03/2020 12:49
9603,433,51.405674,-0.162319,02/03/2020 12:50,02/03/2020 12:50
9605,433,51.405674,-0.162319,02/03/2020 12:50,02/03/2020 12:50
9607,433,51.405674,-0.162319,02/03/2020 12:51,02/03/2020 12:51
9609,433,51.405674,-0.162319,02/03/2020 12:51,02/03/2020 12:51
9611,433,51.405674,-0.162319,02/03/2020 12:52,02/03/2020 12:52
9613,433,51.405674,-0.162319,02/03/2020 12:52,02/03/2020 12:52
9615,433,51.405674,-0.162319,02/03/2020 12:53,02/03/2020 12:53
9617,433,51.405674,-0.162319,02/03/2020 12:53,02/03/2020 12:53
9619,433,51.405674,-0.162319,02/03/2020 12:54,02/03/2020 12:54
9621,433,51.405674,-0.162319,02/03/2020 12:54,02/03/2020 12:54
9623,433,51.405674,-0.162319,02/03/2020 12:55,02/03/2020 12:55
9625,433,51.405674,-0.162319,02/03/2020 12:55,02/03/2020 12:55
9627,433,51.405674,-0.162319,02/03/2020 12:56,02/03/2020 12:56
9629,433,51.405674,-0.162319,02/03/2020 12:56,02/03/2020 12:56
9631,433,51.405674,-0.162319,02/03/2020 12:57,02/03/2020 12:57
9633,433,51.405674,-0.162319,02/03/2020 12:57,02/03/2020 12:57
9635,433,51.405674,-0.162319,02/03/2020 12:58,02/03/2020 12:58
9637,433,51.405674,-0.162319,02/03/2020 12:58,02/03/2020 12:58
9639,433,51.405674,-0.162319,02/03/2020 12:59,02/03/2020 12:59
9641,433,51.405674,-0.162319,02/03/2020 12:59,02/03/2020 12:59
9643,433,51.405674,-0.162319,02/03/2020 13:00,02/03/2020 13:00
9645,433,51.405674,-0.162319,02/03/2020 13:00,02/03/2020 13:00
9647,433,51.405674,-0.162319,02/03/2020 13:01,02/03/2020 13:01
9649,433,51.405674,-0.162319,02/03/2020 13:01,02/03/2020 13:01
9651,433,51.405674,-0.162319,02/03/2020 13:02,02/03/2020 13:02
9653,433,51.405674,-0.162319,02/03/2020 13:02,02/03/2020 13:02
9655,433,51.405674,-0.162319,02/03/2020 13:03,02/03/2020 13:03
9657,433,51.405674,-0.162319,02/03/2020 13:03,02/03/2020 13:03
9664,433,51.405674,-0.162319,02/03/2020 13:06,02/03/2020 13:06
9669,433,51.405674,-0.162319,02/03/2020 13:08,02/03/2020 13:08
9671,433,51.405674,-0.162319,02/03/2020 13:09,02/03/2020 13:09
9673,433,51.405674,-0.162319,02/03/2020 13:09,02/03/2020 13:09
9675,433,51.405674,-0.162319,02/03/2020 13:10,02/03/2020 13:10
9677,433,51.405674,-0.162319,02/03/2020 13:10,02/03/2020 13:10
9679,433,51.405674,-0.162319,02/03/2020 13:11,02/03/2020 13:11
