,Bundesland,Location,id1,lat,lon
160,433,London,9693,51.378822,-0.101095
161,433,London,9695,51.378822,-0.101095
162,433,London,9697,51.378822,-0.101095
163,433,London,9699,51.378822,-0.101095
164,433,London,9701,51.378822,-0.101095
165,433,London,9703,51.378822,-0.101095
166,433,London,9705,51.378822,-0.101095
167,433,London,9706,51.378822,-0.101095
168,433,London,9707,51.378822,-0.101095
169,433,London,9708,51.378822,-0.101095
170,433,London,9709,51.378822,-0.101095
171,433,London,9710,51.378822,-0.101095
172,433,London,9711,51.378822,-0.101095
173,433,London,9712,51.378822,-0.101095
174,433,London,9713,51.378822,-0.101095
175,433,London,9714,51.378822,-0.101095
176,433,London,9715,51.378822,-0.101095
177,433,London,9716,51.378822,-0.101095
178,433,London,9717,51.378822,-0.101095
179,434,London,9576,51.578469,-0.128116
180,434,London,9578,51.578468,-0.128116
181,434,London,9586,51.578468,-0.128116
182,434,London,9589,51.578468,-0.128116
183,434,London,9591,51.578468,-0.128116
184,434,London,9596,51.578468,-0.128116
185,434,London,9600,51.578468,-0.128116
186,434,London,9602,51.578468,-0.128116
187,434,London,9604,51.578468,-0.128116
188,434,London,9606,51.578468,-0.128116
189,434,London,9608,51.578468,-0.128116
190,434,London,9610,51.578468,-0.128116
191,434,London,9612,51.578468,-0.128116
192,434,London,9614,51.578468,-0.128116
193,434,London,9616,51.578468,-0.128116
194,434,London,9618,51.578468,-0.128116
195,434,London,9620,51.578468,-0.128116
196,434,London,9622,51.578468,-0.128116
197,434,London,9624,51.578468,-0.128116
198,434,London,9626,51.578468,-0.128116
199,434,London,9628,51.578468,-0.128116
200,434,London,9630,51.578468,-0.128116
201,434,London,9632,51.578468,-0.128116
202,434,London,9634,51.578468,-0.128116
203,434,London,9636,51.578468,-0.128116
204,434,London,9638,51.578468,-0.128116
205,434,London,9640,51.578468,-0.128116
206,434,London,9642,51.578468,-0.128116
207,434,London,9644,51.578468,-0.128116
208,434,London,9646,51.578468,-0.128116
209,434,London,9648,51.578468,-0.128116
210,434,London,9650,51.578468,-0.128116
211,434,London,9652,51.578468,-0.128116
212,434,London,9654,51.578468,-0.128116
213,434,London,9656,51.578468,-0.128116
214,434,London,9658,51.578468,-0.128116
215,434,London,9659,51.578468,-0.128116
216,434,London,9660,51.578468,-0.128116
217,434,London,9661,51.578468,-0.128116
218,434,London,9662,51.578468,-0.128116
219,434,London,9663,51.578468,-0.128116
220,434,London,9665,51.578468,-0.128116
221,434,London,9666,51.551823,-0.125821
222,434,London,9667,51.551823,-0.125821
223,434,London,9668,51.551823,-0.125821
224,434,London,9670,51.551823,-0.125821
225,434,London,9672,51.551823,-0.125821
226,434,London,9674,51.551823,-0.125821
227,434,London,9676,51.551823,-0.125821
228,434,London,9678,51.551823,-0.125821
229,434,London,9680,51.551823,-0.125821
230,434,London,9682,51.551823,-0.125821
231,434,London,9684,51.551823,-0.125821
232,434,London,9686,51.551823,-0.125821
233,434,London,9688,51.551823,-0.125821
234,434,London,9690,51.551823,-0.125821
235,434,London,9692,51.551823,-0.125821
236,434,London,9694,51.551823,-0.125821
237,434,London,9696,51.551823,-0.125821
238,434,London,9698,51.551823,-0.125821
239,434,London,9700,51.551823,-0.125821
240,434,London,9702,51.551823,-0.125821
241,434,London,9704,51.551823,-0.125821
242,435,London,9718,51.537983,0.001716
243,435,London,9719,51.537983,0.001716
244,435,London,9720,51.537983,0.001716
245,435,London,9721,51.537983,0.001716
246,435,London,9722,51.537983,0.001716
247,435,London,9723,51.537983,0.001716
248,435,London,9724,51.541904,-0.002
249,435,London,9725,51.541904,-0.002
250,435,London,9726,51.541904,-0.002
251,435,London,9727,51.541904,-0.002
252,435,London,9728,51.541904,-0.002
253,435,London,9729,51.541904,-0.002
254,435,London,9730,51.541904,-0.002
255,435,London,9731,51.541904,-0.002
256,435,London,9732,51.541904,-0.002
257,435,London,9733,51.541904,-0.002
258,435,London,9734,51.541904,-0.002
259,435,London,9735,51.541904,-0.002
260,435,London,9736,51.541904,-0.002
261,435,London,9737,51.541904,-0.002
262,435,London,9738,51.537277,0.006113
263,435,London,9739,51.537277,0.006113
