date/time,lat,lon,Base
02/03/2020 12:43,51.405674,-0.162319,B02512
02/03/2020 12:44,51.405674,-0.162319,B02512
02/03/2020 12:45,51.405674,-0.162319,B02512
02/03/2020 12:45,51.405674,-0.162319,B02512
02/03/2020 12:46,51.405674,-0.162319,B02512
02/03/2020 12:46,51.405674,-0.162319,B02512
02/03/2020 12:47,51.405674,-0.162319,B02512
02/03/2020 12:47,51.405674,-0.162319,B02512
02/03/2020 12:48,51.405674,-0.162319,B02512
02/03/2020 12:49,51.405674,-0.162319,B02512
02/03/2020 12:49,51.405674,-0.162319,B02512
02/03/2020 12:50,51.405674,-0.162319,B02512
02/03/2020 12:50,51.405674,-0.162319,B02512
02/03/2020 12:51,51.405674,-0.162319,B02512
02/03/2020 12:51,51.405674,-0.162319,B02512
02/03/2020 12:52,51.405674,-0.162319,B02512
02/03/2020 12:52,51.405674,-0.162319,B02512
02/03/2020 12:53,51.405674,-0.162319,B02512
02/03/2020 12:53,51.405674,-0.162319,B02512
02/03/2020 12:54,51.405674,-0.162319,B02512
02/03/2020 12:54,51.405674,-0.162319,B02512
02/03/2020 12:55,51.405674,-0.162319,B02512
02/03/2020 12:55,51.405674,-0.162319,B02512
02/03/2020 12:56,51.405674,-0.162319,B02512
02/03/2020 12:56,51.405674,-0.162319,B02512
02/03/2020 12:57,51.405674,-0.162319,B02512
02/03/2020 12:57,51.405674,-0.162319,B02512
02/03/2020 12:58,51.405674,-0.162319,B02512
02/03/2020 12:58,51.405674,-0.162319,B02512
02/03/2020 12:59,51.405674,-0.162319,B02512
02/03/2020 12:59,51.405674,-0.162319,B02512
02/03/2020 13:00,51.405674,-0.162319,B02512
02/03/2020 13:00,51.405674,-0.162319,B02512
02/03/2020 13:01,51.405674,-0.162319,B02512
02/03/2020 13:01,51.405674,-0.162319,B02512
02/03/2020 13:02,51.405674,-0.162319,B02512
02/03/2020 13:02,51.405674,-0.162319,B02512
02/03/2020 13:03,51.405674,-0.162319,B02512
02/03/2020 13:03,51.405674,-0.162319,B02512
02/03/2020 13:06,51.405674,-0.162319,B02512
02/03/2020 13:08,51.405674,-0.162319,B02512
02/03/2020 13:09,51.405674,-0.162319,B02512
02/03/2020 13:09,51.405674,-0.162319,B02512
02/03/2020 13:10,51.405674,-0.162319,B02512
02/03/2020 13:10,51.405674,-0.162319,B02512
02/03/2020 13:11,51.405674,-0.162319,B02512
02/03/2020 13:11,51.405674,-0.162319,B02512
02/03/2020 13:12,51.405674,-0.162319,B02512
02/03/2020 13:12,51.405674,-0.162319,B02512
02/03/2020 13:13,51.405674,-0.162319,B02512
02/03/2020 13:13,51.405674,-0.162319,B02512
02/03/2020 13:14,51.378822,-0.101095,B02512
02/03/2020 13:14,51.378822,-0.101095,B02512
02/03/2020 13:15,51.378822,-0.101095,B02512
02/03/2020 13:15,51.378822,-0.101095,B02512
02/03/2020 13:16,51.378822,-0.101095,B02512
02/03/2020 13:16,51.378822,-0.101095,B02512
02/03/2020 13:17,51.378822,-0.101095,B02512
02/03/2020 13:17,51.378822,-0.101095,B02512
02/03/2020 13:18,51.378822,-0.101095,B02512
02/03/2020 13:18,51.378822,-0.101095,B02512
02/03/2020 13:19,51.378822,-0.101095,B02512
02/03/2020 13:19,51.378822,-0.101095,B02512
02/03/2020 13:20,51.378822,-0.101095,B02512
02/03/2020 13:20,51.378822,-0.101095,B02512
02/03/2020 13:21,51.378822,-0.101095,B02512
02/03/2020 13:21,51.378822,-0.101095,B02512
02/03/2020 13:22,51.378822,-0.101095,B02512
02/03/2020 13:22,51.378822,-0.101095,B02512
02/03/2020 13:23,51.378822,-0.101095,B02512
02/03/2020 13:24,51.378822,-0.101095,B02512
02/03/2020 12:37,51.578469,-0.128116,B02512
02/03/2020 12:37,51.578468,-0.128116,B02512
02/03/2020 12:41,51.578468,-0.128116,B02512
02/03/2020 12:45,51.578468,-0.128116,B02512
02/03/2020 12:45,51.578468,-0.128116,B02512
02/03/2020 12:47,51.578468,-0.128116,B02512
02/03/2020 12:49,51.578468,-0.128116,B02512
02/03/2020 12:49,51.578468,-0.128116,B02512
02/03/2020 12:50,51.578468,-0.128116,B02512
02/03/2020 12:50,51.578468,-0.128116,B02512
02/03/2020 12:51,51.578468,-0.128116,B02512
02/03/2020 12:51,51.578468,-0.128116,B02512
02/03/2020 12:52,51.578468,-0.128116,B02512
02/03/2020 12:52,51.578468,-0.128116,B02512
02/03/2020 12:53,51.578468,-0.128116,B02512
02/03/2020 12:53,51.578468,-0.128116,B02512
02/03/2020 12:54,51.578468,-0.128116,B02512
02/03/2020 12:54,51.578468,-0.128116,B02512
02/03/2020 12:55,51.578468,-0.128116,B02512
02/03/2020 12:55,51.578468,-0.128116,B02512
02/03/2020 12:56,51.578468,-0.128116,B02512
02/03/2020 12:56,51.578468,-0.128116,B02512
02/03/2020 12:57,51.578468,-0.128116,B02512
02/03/2020 12:57,51.578468,-0.128116,B02512
02/03/2020 12:58,51.578468,-0.128116,B02512
02/03/2020 12:58,51.578468,-0.128116,B02512
02/03/2020 12:59,51.578468,-0.128116,B02512
02/03/2020 12:59,51.578468,-0.128116,B02512
02/03/2020 13:00,51.578468,-0.128116,B02512
02/03/2020 13:00,51.578468,-0.128116,B02512
02/03/2020 13:01,51.578468,-0.128116,B02512
02/03/2020 13:01,51.578468,-0.128116,B02512
02/03/2020 13:02,51.578468,-0.128116,B02512
02/03/2020 13:02,51.578468,-0.128116,B02512
02/03/2020 13:03,51.578468,-0.128116,B02512
02/03/2020 13:03,51.578468,-0.128116,B02512
02/03/2020 13:04,51.578468,-0.128116,B02512
02/03/2020 13:04,51.578468,-0.128116,B02512
02/03/2020 13:05,51.578468,-0.128116,B02512
02/03/2020 13:05,51.578468,-0.128116,B02512
02/03/2020 13:06,51.578468,-0.128116,B02512
02/03/2020 13:06,51.578468,-0.128116,B02512
02/03/2020 13:07,51.551823,-0.125821,B02512
02/03/2020 13:07,51.551823,-0.125821,B02512
02/03/2020 13:08,51.551823,-0.125821,B02512
02/03/2020 13:08,51.551823,-0.125821,B02512
02/03/2020 13:09,51.551823,-0.125821,B02512
02/03/2020 13:09,51.551823,-0.125821,B02512
02/03/2020 13:10,51.551823,-0.125821,B02512
02/03/2020 13:10,51.551823,-0.125821,B02512
02/03/2020 13:11,51.551823,-0.125821,B02512
02/03/2020 13:11,51.551823,-0.125821,B02512
02/03/2020 13:12,51.551823,-0.125821,B02512
02/03/2020 13:12,51.551823,-0.125821,B02512
02/03/2020 13:13,51.551823,-0.125821,B02512
02/03/2020 13:13,51.551823,-0.125821,B02512
02/03/2020 13:14,51.551823,-0.125821,B02512
02/03/2020 13:14,51.551823,-0.125821,B02512
02/03/2020 13:15,51.551823,-0.125821,B02512
02/03/2020 13:15,51.551823,-0.125821,B02512
02/03/2020 13:16,51.551823,-0.125821,B02512
02/03/2020 13:16,51.551823,-0.125821,B02512
02/03/2020 13:17,51.551823,-0.125821,B02512
02/03/2020 16:05,51.537983,0.001716,B02512
02/03/2020 16:05,51.537983,0.001716,B02512
02/03/2020 16:06,51.537983,0.001716,B02512
02/03/2020 16:06,51.537983,0.001716,B02512
02/03/2020 16:07,51.537983,0.001716,B02512
02/03/2020 16:07,51.537983,0.001716,B02512
02/03/2020 16:19,51.541904,-0.002,B02512
02/03/2020 16:19,51.541904,-0.002,B02512
02/03/2020 16:20,51.541904,-0.002,B02512
02/03/2020 16:20,51.541904,-0.002,B02512
02/03/2020 16:21,51.541904,-0.002,B02512
02/03/2020 16:21,51.541904,-0.002,B02512
02/03/2020 16:22,51.541904,-0.002,B02512
02/03/2020 16:22,51.541904,-0.002,B02512
02/03/2020 16:23,51.541904,-0.002,B02512
02/03/2020 16:23,51.541904,-0.002,B02512
02/03/2020 16:24,51.541904,-0.002,B02512
02/03/2020 16:24,51.541904,-0.002,B02512
02/03/2020 16:25,51.541904,-0.002,B02512
02/03/2020 16:25,51.541904,-0.002,B02512
02/03/2020 16:26,51.537277,0.006113,B02512
02/03/2020 16:26,51.537277,0.006113,B02512
02/03/2020 16:27,51.537277,0.006113,B02512
02/03/2020 16:27,51.537277,0.006113,B02512
02/03/2020 16:28,51.537277,0.006113,B02512
02/03/2020 16:28,51.537277,0.006113,B02512
02/03/2020 16:29,51.537277,0.006113,B02512
02/03/2020 16:29,51.537277,0.006113,B02512
02/03/2020 16:30,51.537277,0.006113,B02512
02/03/2020 16:30,51.537277,0.006113,B02512
02/03/2020 16:31,51.537277,0.006113,B02512
02/03/2020 16:32,51.537277,0.006113,B02512
02/03/2020 16:32,51.537277,0.006113,B02512
02/03/2020 16:33,51.537277,0.006113,B02512
02/03/2020 16:33,51.537277,0.006113,B02512
02/03/2020 16:34,51.537277,0.006113,B02512
02/03/2020 16:34,51.537277,0.006113,B02512
02/03/2020 16:35,51.537277,0.006113,B02512
02/03/2020 16:35,51.537277,0.006113,B02512
02/03/2020 16:36,51.537277,0.006113,B02512
02/03/2020 16:36,51.537277,0.006113,B02512
02/03/2020 16:37,51.537277,0.006113,B02512
02/03/2020 16:37,51.537277,0.006113,B02512
02/03/2020 16:38,51.537277,0.006113,B02512
02/03/2020 16:38,51.537277,0.006113,B02512
02/03/2020 16:39,51.537277,0.006113,B02512
02/03/2020 16:39,51.537277,0.006113,B02512
02/03/2020 16:40,51.537277,0.006113,B02512
02/03/2020 16:40,51.537277,0.006113,B02512
02/03/2020 16:41,51.537277,0.006113,B02512
02/03/2020 16:41,51.537277,0.006113,B02512
02/03/2020 16:42,51.537277,0.006113,B02512
02/03/2020 16:42,51.537277,0.006113,B02512
02/03/2020 16:43,51.538639,0.041612,B02512
02/03/2020 16:43,51.538639,0.041612,B02512
02/03/2020 16:44,51.538639,0.041612,B02512
02/03/2020 16:44,51.538639,0.041612,B02512
02/03/2020 16:45,51.538639,0.041612,B02512
02/03/2020 16:45,51.538639,0.041612,B02512
02/03/2020 16:46,51.538639,0.041612,B02512
02/03/2020 16:46,51.538639,0.041612,B02512
02/03/2020 16:47,51.538639,0.041612,B02512
