id,duration,journey_id,updated_at,,,created_at,,,,,,start_longitude,start_latitude,end_longitude,end_latitude,trip_dist,,,,,,,
12582,1260,475,05/03/2020 11:43,,,05/03/2020 11:43,,,,,,-0.100407,51.504969,-0.100407,51.504969,1746.726826,,,,,,,
12586,1020,476,05/03/2020 12:43,,,05/03/2020 12:43,,,,,,-0.1029,51.506586,-0.100124,51.504826,3372.382656,,,,,,,
12619,1020,477,05/03/2020 14:23,,,05/03/2020 14:23,,,,,,-0.100405,51.504813,-0.100405,51.504813,1368.741145,,,,,,,
12620,2040,478,05/03/2020 15:19,,,05/03/2020 15:19,,,,,,-0.100349,51.504973,-0.100349,51.504973,342.0790639,,,,,,,
12621,1440,479,05/03/2020 15:37,,,05/03/2020 15:37,,,,,,-0.100412,51.50481,-0.047942,51.498608,2492.548463,,,,,,,
12626,2940,480,05/03/2020 16:03,,,05/03/2020 16:03,,,,,,-0.140086,51.536516,-0.118223,51.558617,0,,,,,,,
12736,8580,481,05/03/2020 16:48,,,05/03/2020 16:48,,,,,,-0.1337,51.50998,-0.1337,51.50998,0,,,,,,,
12747,5160,482,05/03/2020 16:50,,,05/03/2020 16:50,,,,,,-0.1337,51.50998,-0.1337,51.50998,0,,,,,,,
12775,2940,483,05/03/2020 16:58,,,05/03/2020 16:58,,,,,,-0.100452,51.504996,-0.100452,51.504996,0,,,,,,,
12780,2220,484,05/03/2020 17:00,,,05/03/2020 17:00,,,,,,0.102426,51.432258,-0.084263,51.504551,0,,,,,,,
12915,3480,485,05/03/2020 20:00,,,05/03/2020 20:00,,,,,,0.111013,51.40791,0.111013,51.407909,0,,,,,,,
12917,2940,486,05/03/2020 20:06,,,05/03/2020 20:06,,,,,,0.111094,51.407928,0.111094,51.407928,0,,,,,,,
12918,5160,487,05/03/2020 20:07,,,05/03/2020 20:07,,,,,,0.111094,51.407928,0.111094,51.407928,0,,,,,,,
12920,3120,488,06/03/2020 05:18,,,06/03/2020 05:18,,,,,,-0.128084,51.578437,-0.139842,51.536251,0,,,,,,,
13029,2400,489,06/03/2020 07:55,,,06/03/2020 07:55,,,,,,0.038723,51.543201,0.001641,51.538101,0,,,,,,,
13046,5160,490,06/03/2020 09:53,,,06/03/2020 09:53,,,,,,-0.385142,51.443037,-0.3277,51.478985,0,,,,,,,
13122,8520,491,06/03/2020 12:44,,,06/03/2020 12:44,,,,,,-0.100278,51.504844,-0.0997,51.506519,0,,,,,,,
13132,7740,492,06/03/2020 13:20,,,06/03/2020 13:20,,,,,,-0.327673,51.478999,-0.362857,51.466614,0,,,,,,,
