group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,,
1,10674,448,51.504842,-0.100394,03/03/2020 00:00,16:06:00,03/03/2020 00:00,16:06:00,00:00:00,2,15914,617,51.520216,-0.109636,09/03/2020 00:00,18:46:00,09/03/2020 00:00,18:46:00,00:00:00,3,18301,817,51.5044,-0.218832,13/03/2020 00:00,15:27:00,13/03/2020 00:00,15:27:00,00:00:00,,
1,10675,449,51.504842,-0.100394,03/03/2020 00:00,16:07:00,03/03/2020 00:00,16:07:00,00:00:00,2,15944,618,51.516526,-0.129833,09/03/2020 00:00,19:01:00,09/03/2020 00:00,19:01:00,00:00:00,3,18371,818,51.343967,-0.109421,13/03/2020 00:00,16:07:00,13/03/2020 00:00,16:07:00,00:00:00,,
1,10750,450,51.515582,-0.089413,03/03/2020 00:00,17:08:00,03/03/2020 00:00,18:16:00,01:08:00,2,15948,619,51.506271,-0.085642,09/03/2020 00:00,19:05:00,09/03/2020 00:00,19:42:00,00:37:00,3,18382,819,51.46107,-0.218048,13/03/2020 00:00,16:29:00,13/03/2020 00:00,16:29:00,00:00:00,,
1,10886,451,51.504808,-0.10044,03/03/2020 00:00,18:05:00,03/03/2020 00:00,18:32:00,00:27:00,2,16006,620,51.492777,-0.167043,09/03/2020 00:00,19:40:00,09/03/2020 00:00,19:40:00,00:00:00,3,18384,820,51.462891,-0.121867,13/03/2020 00:00,16:30:00,13/03/2020 00:00,16:30:00,00:00:00,,
1,10967,452,51.496213,-0.2352,03/03/2020 00:00,18:35:00,03/03/2020 00:00,18:43:00,00:08:00,2,16019,621,51.533468,-0.107009,09/03/2020 00:00,21:54:00,09/03/2020 00:00,21:54:00,00:00:00,3,18410,821,51.546819,0.033194,13/03/2020 00:00,16:51:00,13/03/2020 00:00,20:07:00,03:16:00,,
1,11338,453,51.542954,0.03876,04/03/2020 00:00,07:53:00,04/03/2020 00:00,08:26:00,00:33:00,2,16020,622,51.536277,-0.139996,09/03/2020 00:00,23:43:00,10/03/2020 00:00,00:23:00,###############################################################################################################################################################################################################################################################,3,18414,822,51.449555,-0.013213,13/03/2020 00:00,16:52:00,13/03/2020 00:00,16:52:00,00:00:00,,
1,11343,454,51.405687,-0.162321,04/03/2020 00:00,10:18:00,05/03/2020 00:00,10:18:00,00:00:00,2,16083,623,51.514968,-0.06718,10/03/2020 00:00,01:04:00,10/03/2020 00:00,01:04:00,00:00:00,3,18420,823,51.432963,-0.15385,13/03/2020 00:00,17:10:00,13/03/2020 00:00,17:10:00,00:00:00,,
1,11505,455,51.504834,-0.100413,04/03/2020 00:00,12:24:00,04/03/2020 00:00,12:41:00,00:17:00,2,16084,624,51.414252,-0.060332,10/03/2020 00:00,01:51:00,10/03/2020 00:00,01:51:00,00:00:00,3,18469,824,51.516584,-0.129801,13/03/2020 00:00,17:43:00,13/03/2020 00:00,17:43:00,00:00:00,,
1,11512,456,51.50498,-0.100423,04/03/2020 00:00,12:26:00,04/03/2020 00:00,12:26:00,00:00:00,2,16085,625,51.634216,0.343499,10/03/2020 00:00,07:44:00,10/03/2020 00:00,07:44:00,00:00:00,3,18498,825,51.504808,-0.100437,13/03/2020 00:00,18:00:00,13/03/2020 00:00,18:00:00,00:00:00,,
1,11515,457,51.505025,-0.100375,04/03/2020 00:00,12:27:00,04/03/2020 00:00,12:27:00,00:00:00,2,16086,626,51.542905,0.038722,10/03/2020 00:00,07:55:00,10/03/2020 00:00,08:29:00,00:34:00,3,18519,826,52.228624,-0.89576,13/03/2020 00:00,18:11:00,13/03/2020 00:00,19:04:00,00:53:00,,
